timestamp_utc,carpark,available_spaces,total_spaces,occupancy,status,parking_option,source_last_updated
2025-09-24 03:27:32,Ronwood,260,678,0.6165,,Short-term,
2025-09-24 03:27:32,Toka Puia,283,420,0.3262,,Short-term,
2025-09-24 03:27:32,Victoria Street,275,895,0.6927,,Short-term,
2025-09-24 04:15:51,Civic,579,928,0.3761,,Short-term,
2025-09-24 04:15:51,Downtown,737,1944,0.6209,,Short-term,
2025-09-24 04:15:51,Ronwood,309,678,0.5442,,Short-term,
2025-09-24 04:15:51,Toka Puia,314,420,0.2524,,Short-term,
2025-09-24 04:15:51,Victoria Street,317,895,0.6458,,Short-term,
2025-09-24 05:13:03,Civic,629,928,0.3222,,Short-term,
2025-09-24 05:13:03,Downtown,860,1944,0.5576,,Short-term,
2025-09-24 05:13:03,Ronwood,400,678,0.41,,Short-term,
2025-09-24 05:13:03,Toka Puia,357,420,0.15,,Short-term,
2025-09-24 05:13:03,Victoria Street,371,895,0.5855,,Short-term,
2025-09-24 06:20:07,Civic,582,928,0.3728,,Short-term,
2025-09-24 06:20:07,Downtown,947,1944,0.5129,,Short-term,
2025-09-24 06:20:07,Ronwood,477,678,0.2965,,Short-term,
2025-09-24 06:20:07,Toka Puia,386,420,0.081,,Short-term,
2025-09-24 06:20:07,Victoria Street,395,895,0.5587,,Short-term,
2025-09-24 07:13:40,Civic,511,928,0.4494,,Short-term,
2025-09-24 07:13:40,Downtown,976,1944,0.4979,,Short-term,
2025-09-24 07:13:40,Ronwood,508,678,0.2507,,Short-term,
2025-09-24 07:13:40,Toka Puia,387,420,0.0786,,Short-term,
2025-09-24 07:13:40,Victoria Street,397,895,0.5564,,Short-term,
2025-09-24 08:18:07,Civic,497,928,0.4644,,Short-term,
2025-09-24 08:18:07,Downtown,1089,1944,0.4398,,Short-term,
2025-09-24 08:18:07,Ronwood,511,678,0.2463,,Short-term,
